Timestamp,  Please enter the complete property address as listed on the real estate website.  ,  What is the current listed price of this property ?  ,  Provide the direct link to the property’s online listing for verification and reference.  
2025/11/22 1:13:34 AM GMT+5:30,"Mosser Towers Apartments, 455 Eddy St APT E1102, San Francisco, CA 94102","$2,450/mo",https://www.zillow.com/apartments/san-francisco-ca/mosser-towers-apartments/9NJr4f/
2025/11/22 1:13:59 AM GMT+5:30,"1029 Geary St., 1029 Geary St, San Francisco, CA 94109","$2,095",https://www.zillow.com/apartments/san-francisco-ca/1029-geary-st./5YCgZq/
2025/11/22 1:14:24 AM GMT+5:30,"33 8th at Trinity Place | 33 8th St, San Francisco, CA","$2,298",https://www.zillow.com/apartments/san-francisco-ca/33-8th-at-trinity-place/9NJw4S/
2025/11/22 1:14:48 AM GMT+5:30,"SoMa Square | 1 Saint Francis Pl, San Francisco, CA","$2,809",https://www.zillow.com/apartments/san-francisco-ca/soma-square/5Xj2Yr/
2025/11/22 1:15:12 AM GMT+5:30,"480 Potrero Ave, 480 Potrero Ave #610, San Francisco, CA 94110","$2,495/mo",https://www.zillow.com/apartments/san-francisco-ca/480-potrero-ave/5mY4JQ/
2025/11/22 1:15:36 AM GMT+5:30,"The Mission | 240 Dolores St, San Francisco, CA","$2,494",https://www.zillow.com/apartments/san-francisco-ca/the-mission/5XjQJR/
2025/11/22 1:15:59 AM GMT+5:30,"L Seven | 1222 Harrison St, San Francisco, CA","$2,775",https://www.zillow.com/apartments/san-francisco-ca/l-seven/9NJtD7/
2025/11/22 1:16:22 AM GMT+5:30,"Palace Court Apartments | 555 Ofarrell St, San Francisco, CA","$1,745",https://www.zillow.com/apartments/san-francisco-ca/palace-court-apartments/5XjKSv/
2025/11/22 1:16:44 AM GMT+5:30,"2000 Post | 2000 Post St, San Francisco, CA","$2,764",https://www.zillow.com/apartments/san-francisco-ca/2000-post/5XjRNn/
2025/11/22 1:17:07 AM GMT+5:30,"HQ | 1532 Harrison St, San Francisco, CA","$2,799",https://www.zillow.com/apartments/san-francisco-ca/hq/9NJthZ/
2025/11/22 1:17:29 AM GMT+5:30,"AVA 55 Ninth | 55 9th St, San Francisco, CA","$2,525",https://www.zillow.com/apartments/san-francisco-ca/ava-55-ninth/5XkH8X/
2025/11/22 1:17:52 AM GMT+5:30,"The Bay | 2133 Stockton St, San Francisco, CA","$2,199",https://www.zillow.com/apartments/san-francisco-ca/the-bay/5Xhzkj/
2025/11/22 1:18:15 AM GMT+5:30,"Lofts at Seven | 277 Golden Gate Ave, San Francisco, CA","$1,995",https://www.zillow.com/apartments/san-francisco-ca/lofts-at-seven/5XmsgS/
2025/11/22 1:18:38 AM GMT+5:30,"347 Eddy St. | 347 Eddy St, San Francisco, CA","$1,895",https://www.zillow.com/apartments/san-francisco-ca/347-eddy-st./5XxfK3/
2025/11/22 1:19:00 AM GMT+5:30,"Solaire | 299 Fremont St, San Francisco, CA","$2,898",https://www.zillow.com/b/solaire-san-francisco-ca-65g7KK/
2025/11/22 1:19:23 AM GMT+5:30,"Marina Cove Apartments, 1550 Bay St APT B225, San Francisco, CA 94123","$2,999/mo",https://www.zillow.com/apartments/san-francisco-ca/marina-cove-apartments/5XjRBB/
2025/11/22 1:19:45 AM GMT+5:30,"Avalon Dogpatch, 800 Indiana St, San Francisco, CA 94107","$2,830",https://www.zillow.com/apartments/san-francisco-ca/avalon-dogpatch/5Yy5Rr/
2025/11/22 1:20:07 AM GMT+5:30,"The Gateway, 430 Davis Ct #3-0306, San Francisco, CA 94111","$2,895/mo",https://www.zillow.com/apartments/san-francisco-ca/the-gateway/5Xkxvk/
2025/11/22 1:20:30 AM GMT+5:30,"50 Laguna, 50 Laguna St APT 604, San Francisco, CA 94102","$2,775/mo",https://www.zillow.com/apartments/san-francisco-ca/50-laguna/5XjSDX/
2025/11/22 1:20:53 AM GMT+5:30,"The Fillmore Center, 1475 Fillmore St #S30305, San Francisco, CA 94115","$2,998/mo",https://www.zillow.com/apartments/san-francisco-ca/the-fillmore-center/5XjVzy/
2025/11/22 1:21:16 AM GMT+5:30,"1333 Gough Apartments at Cathedral Hall, 1333 Gough St APT 1G, San Francisco, CA 94109","$2,895",https://www.zillow.com/apartments/san-francisco-ca/1333-gough-apartments-at-cathedral-hall/5XjRmn/
2025/11/22 1:21:39 AM GMT+5:30,"1177 Market at Trinity Place | 1177 Market St, San Francisco, CA","$2,773",https://www.zillow.com/apartments/san-francisco-ca/1177-market-at-trinity-place/BNjvdD/
2025/11/22 1:22:02 AM GMT+5:30,"300 Buchanan, 300 Buchanan St #202, San Francisco, CA 94102","$2,975/mo",https://www.zillow.com/apartments/san-francisco-ca/300-buchanan/5XjW2N/
